,Overall,bert_all-MiniLM-L12-v20,USE,tf_idf0
Overall,1.0,-0.719582254111328,-0.6890446935468498,-0.7050087453878414
bert_all-MiniLM-L12-v20,-0.719582254111328,1.0,0.8790999070413309,0.8625339951079872
USE,-0.6890446935468498,0.8790999070413309,1.0,0.94327572416887
tf_idf0,-0.7050087453878414,0.8625339951079872,0.94327572416887,1.0
