bert_bert_miniLM0,bert_bert_miniLM1,bert_bert_miniLM2
0.17778915166854858,0.19045478105545044,0.3582135736942291
0.30640923976898193,0.35072314739227295,0.5929272174835205
0.6913767457008362,0.5811073184013367,0.8284757137298584
0.7163873910903931,0.7608813643455505,0.8144503831863403
0.7918063402175903,0.8599851131439209,0.8743806481361389
0.7949923276901245,0.8243525624275208,0.916282594203949
0.17002098262310028,0.2324833869934082,0.41084152460098267
0.2275087833404541,0.3131445050239563,0.7576380372047424
0.44649648666381836,0.5477808713912964,0.6401230692863464
0.07540612667798996,0.2080927938222885,0.5141199827194214
0.4354262053966522,0.43607231974601746,0.6545037627220154
0.27043527364730835,0.34097832441329956,0.6102929711341858
0.10603804141283035,0.19671140611171722,0.599316418170929
0.35458338260650635,0.5002567172050476,0.7380788326263428
0.3587953448295593,0.37882742285728455,0.5601924061775208
0.18149372935295105,0.28703686594963074,0.5612506866455078
0.6337418556213379,0.6577204465866089,0.7939130067825317
0.2797096371650696,0.34699729084968567,0.6100601553916931
0.8208544254302979,0.8453591465950012,0.8403823971748352
0.09197213500738144,0.18816611170768738,0.5808038115501404
0.16898006200790405,0.31748199462890625,0.4490371644496918
0.15196913480758667,0.23461100459098816,0.6003832221031189
0.9087473154067993,0.9106426239013672,0.921425461769104
0.07592739164829254,0.13089415431022644,0.6385152339935303
0.8952391147613525,0.9242738485336304,0.9576829075813293
0.11630537360906601,0.16817089915275574,0.3792692720890045
0.1809828132390976,0.2561986446380615,0.44965222477912903
0.5097992420196533,0.582507848739624,0.8245787620544434
0.5607487559318542,0.666175127029419,0.7526801824569702
-0.00862985197454691,0.062428493052721024,0.7163279056549072
0.4528981149196625,0.5082009434700012,0.8082635998725891
0.00259823608212173,0.035177167505025864,0.3573644757270813
0.12032680958509445,0.18850676715373993,0.4547763466835022
0.8808808922767639,0.8970555067062378,0.9435954689979553
0.19712677597999573,0.28484538197517395,0.5300536155700684
0.5941123366355896,0.6552574634552002,0.7211167812347412
0.15565714240074158,0.2428474873304367,0.5885408520698547
0.09306749701499939,0.16969241201877594,0.7438827157020569
0.9205155372619629,0.9116318821907043,0.9280886054039001
0.8456597924232483,0.8564674258232117,0.9300442934036255
0.5713797807693481,0.6855007410049438,0.8906072974205017
0.6882027983665466,0.7664608359336853,0.7307938933372498
0.17817805707454681,0.4107813239097595,0.5842755436897278
0.937671959400177,0.9277482628822327,0.9563588500022888
0.4606230556964874,0.541744589805603,0.7502650022506714
0.8178136944770813,0.804736316204071,0.9395988583564758
0.8289708495140076,0.8672782778739929,0.7985389828681946
0.2835052013397217,0.35123974084854126,0.5292215943336487
0.7668745517730713,0.682081401348114,0.9170875549316406
0.4727119207382202,0.6118723750114441,0.7955479621887207
0.18811924755573273,0.23103678226470947,0.48145216703414917
0.12119651585817337,0.1965782344341278,0.44062674045562744
0.2903091609477997,0.29837170243263245,0.4864957630634308
0.45005691051483154,0.49648457765579224,0.919202983379364
0.3770487904548645,0.4386378526687622,0.6480861902236938
0.2859761118888855,0.35282787680625916,0.7074282169342041
0.5199538469314575,0.5195960402488708,0.8676041960716248
0.5531476140022278,0.5580946803092957,0.8577314019203186
0.9028634428977966,0.829973042011261,0.9585525989532471
0.43307146430015564,0.4913870692253113,0.8301309943199158
0.3670700192451477,0.5159340500831604,0.7102712392807007
0.1411793828010559,0.23788541555404663,0.6091617941856384
0.5611103773117065,0.6203101873397827,0.8334418535232544
0.21154539287090302,0.16404275596141815,0.2868638038635254
0.7418128252029419,0.6840100288391113,0.8292186260223389
0.8777067065238953,0.9000659584999084,0.8370773196220398
0.8071099519729614,0.8723787069320679,0.9279349446296692
0.5962678790092468,0.628423273563385,0.770114004611969
0.2384394258260727,0.28741350769996643,0.5754807591438293
0.8521878123283386,0.9300011396408081,0.9484331011772156
0.09786209464073181,0.18098601698875427,0.7324360013008118
0.35109326243400574,0.39219164848327637,0.7899826765060425
0.2278038114309311,0.2603180706501007,0.4522988200187683
0.32200905680656433,0.3658301532268524,0.7199459671974182
0.2988675534725189,0.3216719329357147,0.4938836693763733
0.25566837191581726,0.32987838983535767,0.5967252850532532
0.6099921464920044,0.6450332403182983,0.911576509475708
0.2724747955799103,0.3591163754463196,0.7523651719093323
0.3260692059993744,0.39709529280662537,0.7079285383224487
0.7158356308937073,0.824768602848053,0.9056674242019653
0.2702619135379791,0.36053743958473206,0.6332820057868958
0.12384642660617828,0.1564398854970932,0.6870312690734863
0.4979582130908966,0.5766587257385254,0.6817739605903625
0.6014305353164673,0.6275548934936523,0.6455751657485962
0.4316878616809845,0.5421068072319031,0.830427885055542
0.17601773142814636,0.29171431064605713,0.5732734799385071
0.23336395621299744,0.35007601976394653,0.7170206904411316
0.545110821723938,0.6392673254013062,0.8180924654006958
0.3457115590572357,0.37508469820022583,0.5973305702209473
0.11859383434057236,0.19296254217624664,0.5729281902313232
0.5410386323928833,0.5838946104049683,0.8609565496444702
0.23632404208183289,0.35454708337783813,0.6746346354484558
0.09235599637031555,0.14148175716400146,0.3195044994354248
0.33518096804618835,0.3466193675994873,0.5773156881332397
0.8874378800392151,0.9025103449821472,0.9160014986991882
0.09289681166410446,0.1132088303565979,0.6253820657730103
0.2543449103832245,0.27808311581611633,0.35190460085868835
0.1552892029285431,0.22847367823123932,0.6073765158653259
0.358354777097702,0.504043698310852,0.7443656921386719
0.09509937465190887,0.20286667346954346,0.7419916987419128
0.8645599484443665,0.8052133917808533,0.8853739500045776
0.8782418370246887,0.8314386010169983,0.9358580112457275
0.7167245745658875,0.7873435020446777,0.8903616070747375
0.6835851669311523,0.7876436114311218,0.9398983120918274
0.2657164931297302,0.2931073009967804,0.6988112330436707
0.12827759981155396,0.2118355929851532,0.46546852588653564
0.311137855052948,0.33286038041114807,0.783007800579071
0.6771745085716248,0.6704172492027283,0.8496831655502319
0.3381771147251129,0.3453793525695801,0.5324603915214539
0.41978132724761963,0.48607945442199707,0.6754484176635742
0.17832006514072418,0.2925000488758087,0.6570772528648376
0.9130452871322632,0.9218267798423767,0.9650543928146362
0.43467819690704346,0.5354241728782654,0.7479405999183655
